G13,G20,G19,G12,G29,G27,G01,G30,G08,G06,G26,G05,G25,G16,G07,G24,G22,G04,G03,G32,G02,G14,G10,G11,G17,G09,G15,G31,G23,G18,G21
,76290.0,68490.0,5970.0,18630.0,53520.0,68430.0,,57750.0,75750.0,44100.0,5070,12120.0,,,,,57930.0,,,,76800.0,,78840.0,65070.0,,14190.0,,15090.0,26010.0,64530.0
,78570.0,68550.0,6060.0,18930.0,53580.0,,,57870.0,75870.0,44310.0,5190,29970.0,,,,,58080.0,,,,77100.0,,78930.0,65370.0,,14310.0,,30720.0,26070.0,64620.0
,84510.0,68700.0,6360.0,20130.0,53670.0,,,57900.0,76170.0,44400.0,5250,31470.0,,,,,58170.0,,,,77700.0,,79230.0,65430.0,,14430.0,,31020.0,26190.0,64680.0
,84570.0,68790.0,6570.0,28230.0,53790.0,,,57990.0,76230.0,44580.0,5400,32820.0,,,,,58980.0,,,,78000.0,,79530.0,65460.0,,14640.0,,31230.0,26310.0,64920.0
,84810.0,68970.0,6660.0,28290.0,53880.0,,,58080.0,76260.0,44700.0,5490,32970.0,,,,,67470.0,,,,78300.0,,79830.0,65670.0,,14730.0,,31320.0,26400.0,65130.0
,85110.0,69090.0,6750.0,28530.0,53940.0,,,58200.0,76320.0,44760.0,5550,33240.0,,,,,67770.0,,,,78360.0,,79890.0,66360.0,,14790.0,,31530.0,26610.0,65250.0
,85320.0,69390.0,6960.0,30090.0,54090.0,,,58290.0,76470.0,44790.0,5790,33570.0,,,,,67950.0,,,,78390.0,,80130.0,66480.0,,15030.0,,31620.0,26670.0,65340.0
,85410.0,69450.0,7020.0,38130.0,54180.0,,,58590.0,76560.0,44910.0,6090,34170.0,,,,,70470.0,,,,78510.0,,80340.0,66570.0,,15090.0,,31920.0,26910.0,65400.0
,85470.0,69600.0,7260.0,38190.0,54270.0,,,58890.0,76680.0,45000.0,6390,,,,,,70560.0,,,,78540.0,,80430.0,66870.0,,15240.0,,32220.0,27120.0,
,85620.0,69690.0,7560.0,38280.0,54480.0,,,58980.0,76770.0,45060.0,6690,,,,,,75870.0,,,,78600.0,,80490.0,67170.0,,15330.0,,32520.0,27420.0,
,85710.0,69990.0,7740.0,,54780.0,,,59190.0,77070.0,45090.0,6900,,,,,,75930.0,,,,78810.0,,80640.0,67230.0,,15390.0,,32580.0,27510.0,
,85920.0,70290.0,8160.0,,54870.0,,,59400.0,77280.0,45210.0,6990,,,,,,75960.0,,,,78900.0,,80730.0,67380.0,,15630.0,,32730.0,28110.0,
,86010.0,70380.0,9420.0,,54990.0,,,59490.0,77370.0,45300.0,25740,,,,,,76020.0,,,,78960.0,,80790.0,67470.0,,15720.0,,32820.0,28200.0,
,86070.0,70470.0,16560.0,,,,,59550.0,77430.0,,25800,,,,,,,,,,79200.0,,80940.0,67530.0,,15930.0,,33120.0,28290.0,
,,70590.0,,,,,,,77580.0,,25830,,,,,,,,,,79380.0,,81030.0,67770.0,,16140.0,,33420.0,28320.0,
,,70800.0,,,,,,,77670.0,,25920,,,,,,,,,,79410.0,,81090.0,67830.0,,16230.0,,33720.0,37110.0,
,,70890.0,,,,,,,77730.0,,25950,,,,,,,,,,79500.0,,81330.0,67950.0,,16530.0,,33930.0,37410.0,
,,71190.0,,,,,,,77970.0,,26040,,,,,,,,,,79710.0,,81630.0,68070.0,,16590.0,,34020.0,37590.0,
,,71490.0,,,,,,,78270.0,,26100,,,,,,,,,,80100.0,,81690.0,68370.0,,16740.0,,34320.0,37620.0,
,,71790.0,,,,,,,78330.0,,26340,,,,,,,,,,80190.0,,81840.0,68970.0,,16830.0,,34380.0,39510.0,
,,72150.0,,,,,,,78570.0,,26400,,,,,,,,,,80280.0,,81930.0,69270.0,,42210.0,,34530.0,39600.0,
,,72210.0,,,,,,,78630.0,,26640,,,,,,,,,,80400.0,,81990.0,69330.0,,,,34620.0,43110.0,
,,,,,,,,,78870.0,,26730,,,,,,,,,,80700.0,,82020.0,69570.0,,,,34800.0,,
,,,,,,,,,79170.0,,26850,,,,,,,,,,81000.0,,82110.0,69870.0,,,,34920.0,,
,,,,,,,,,79230.0,,26940,,,,,,,,,,81300.0,,82140.0,69930.0,,,,35220.0,,
,,,,,,,,,79470.0,,27000,,,,,,,,,,81900.0,,82230.0,70170.0,,,,35520.0,,
,,,,,,,,,,,27150,,,,,,,,,,81960.0,,82440.0,,,,,35820.0,,
,,,,,,,,,,,27240,,,,,,,,,,82380.0,,82530.0,,,,,42930.0,,
,,,,,,,,,,,27300,,,,,,,,,,82410.0,,82830.0,,,,,44220.0,,
,,,,,,,,,,,27420,,,,,,,,,,,,83130.0,,,,,44280.0,,
,,,,,,,,,,,27450,,,,,,,,,,,,83190.0,,,,,44520.0,,
,,,,,,,,,,,27540,,,,,,,,,,,,83220.0,,,,,44730.0,,
,,,,,,,,,,,27600,,,,,,,,,,,,83340.0,,,,,45120.0,,
,,,,,,,,,,,27840,,,,,,,,,,,,,,,,,45420.0,,
,,,,,,,,,,,28140,,,,,,,,,,,,,,,,,45720.0,,
,,,,,,,,,,,28200,,,,,,,,,,,,,,,,,48420.0,,
,,,,,,,,,,,28230,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,28530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,29940,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30870,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,34470,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,76290,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,76320,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,77490,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,78090,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,78690,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,79290,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,79890,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,83490,,,,,,,,,,,,,,,,,,,
