G27,G22,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G18,G30,G10,G31,G04,G23,G11
,,,,,,,,,,68970.0,,,,,,80190.0,,,,,26100,,,,,,,,34020.0,
,,,,,,,,,,69270.0,,,,,,80280.0,,,,,26340,,,,,,,,34320.0,
,,,,,,,,,,69330.0,,,,,,80400.0,,,,,26400,,,,,,,,34380.0,
,,,,,,,,,,69570.0,,,,,,80700.0,,,,,26640,,,,,,,,34530.0,
,,,,,,,,,,69870.0,,,,,,81000.0,,,,,26730,,,,,,,,34620.0,
,,,,,,,,,,69930.0,,,,,,81300.0,,,,,26850,,,,,,,,34800.0,
,,,,,,,,,,70170.0,,,,,,81900.0,,,,,26940,,,,,,,,34920.0,
,,,,,,,,,,,,,,,,81960.0,,,,,27000,,,,,,,,35220.0,
,,,,,,,,,,,,,,,,82380.0,,,,,27150,,,,,,,,35520.0,
,,,,,,,,,,,,,,,,82410.0,,,,,27240,,,,,,,,35820.0,
,,,,,,,,,,,,,,,,,,,,,27300,,,,,,,,42930.0,
,,,,,,,,,,,,,,,,,,,,,27420,,,,,,,,44220.0,
,,,,,,,,,,,,,,,,,,,,,27450,,,,,,,,44280.0,
,,,,,,,,,,,,,,,,,,,,,27540,,,,,,,,44520.0,
,,,,,,,,,,,,,,,,,,,,,27600,,,,,,,,44730.0,
,,,,,,,,,,,,,,,,,,,,,27840,,,,,,,,45120.0,
,,,,,,,,,,,,,,,,,,,,,28140,,,,,,,,45420.0,
,,,,,,,,,,,,,,,,,,,,,28200,,,,,,,,45720.0,
,,,,,,,,,,,,,,,,,,,,,28230,,,,,,,,48420.0,
,,,,,,,,,,,,,,,,,,,,,28530,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,29940,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30870,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,34470,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,76290,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,76320,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,77490,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,78090,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,78690,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,79290,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,79890,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,83490,,,,,,,,,
