G23,G16,G22,G29,G21,G28,G01,G27,G14,G12,G03,G11,G30,G18,G19,G17,G10,G13,G24,G20,G06,G09,G26,G32,G02,G31,G08,G05,G04,G25,G07,G15
28080.0,54780.0,,37170.0,64530.0,42960.0,67650.0,57030.0,18480,31560.0,5730.0,7290.0,10590.0,23430.0,5730.0,5730.0,33600.0,15600.0,26280.0,10200.0,5730.0,5730.0,49500.0,38340.0,17280.0,44310.0,62400.0,14700.0,5730.0,35340.0,6660.0,20820.0
28350.0,55050.0,,37470.0,64560.0,43230.0,67680.0,57300.0,18510,31590.0,6000.0,7320.0,10860.0,23700.0,6000.0,6000.0,33630.0,15870.0,26310.0,10470.0,6000.0,6000.0,49530.0,38610.0,17550.0,44580.0,62670.0,14970.0,6000.0,35610.0,6690.0,20850.0
28380.0,55080.0,,37500.0,64830.0,43260.0,67950.0,57330.0,18780,31860.0,6030.0,7590.0,10890.0,23730.0,6030.0,6030.0,33900.0,15900.0,26580.0,10500.0,6030.0,6030.0,49800.0,38640.0,17580.0,44610.0,62700.0,15000.0,6030.0,35640.0,6960.0,21120.0
28650.0,55350.0,,37770.0,64860.0,43530.0,67980.0,57600.0,18810,31890.0,6300.0,7620.0,11160.0,24000.0,6300.0,6330.0,33930.0,16170.0,26610.0,10770.0,6300.0,6300.0,49830.0,38910.0,17850.0,44880.0,62970.0,15270.0,6300.0,35910.0,6990.0,21150.0
28680.0,55380.0,,37800.0,65130.0,43560.0,68250.0,57630.0,19080,32160.0,6330.0,7890.0,11190.0,24030.0,6330.0,6600.0,34200.0,16200.0,26880.0,10800.0,6330.0,6330.0,50100.0,38940.0,17880.0,44910.0,63000.0,15300.0,6330.0,35940.0,7260.0,21420.0
28950.0,55650.0,,38070.0,65160.0,43830.0,68280.0,57900.0,19110,32190.0,6600.0,7920.0,11460.0,24300.0,6600.0,6630.0,34230.0,16470.0,26910.0,11070.0,6600.0,6600.0,50130.0,39210.0,18150.0,45180.0,63270.0,15570.0,6600.0,36210.0,7290.0,21450.0
28980.0,55680.0,,38100.0,65430.0,43860.0,68550.0,57930.0,19380,32460.0,6630.0,8190.0,11490.0,24330.0,6630.0,6900.0,34500.0,16500.0,27180.0,11100.0,6630.0,6630.0,50400.0,39240.0,18180.0,45210.0,63300.0,15600.0,6630.0,36240.0,7560.0,21720.0
29250.0,55950.0,,38370.0,65460.0,44130.0,68580.0,58200.0,19410,32490.0,6900.0,8220.0,11760.0,24600.0,6900.0,6930.0,34530.0,16770.0,27210.0,11370.0,6900.0,6900.0,50430.0,39510.0,18450.0,45480.0,63570.0,15870.0,6900.0,36510.0,7590.0,21750.0
29280.0,55980.0,,38400.0,65730.0,44160.0,68850.0,58230.0,19680,32760.0,6930.0,8490.0,11790.0,24630.0,6930.0,7200.0,34800.0,16800.0,27480.0,11400.0,6930.0,6930.0,50700.0,39540.0,18480.0,45510.0,63600.0,15900.0,6930.0,36540.0,7860.0,22020.0
29550.0,56250.0,,38670.0,65760.0,44430.0,68880.0,58500.0,19710,32790.0,7200.0,8520.0,12060.0,24900.0,7200.0,7230.0,34830.0,17070.0,27510.0,11670.0,7200.0,7200.0,50730.0,39810.0,18750.0,45780.0,63870.0,16170.0,7200.0,36810.0,7890.0,22050.0
29580.0,56280.0,,38700.0,66030.0,44460.0,69150.0,58530.0,19980,33060.0,7230.0,8790.0,12090.0,24930.0,7230.0,7500.0,35100.0,17100.0,27780.0,11700.0,7230.0,7230.0,51000.0,39840.0,18780.0,45810.0,63900.0,16200.0,7230.0,36840.0,8160.0,22320.0
29850.0,56550.0,,38970.0,66060.0,44730.0,69180.0,58800.0,20010,33090.0,7500.0,8820.0,12360.0,25200.0,7500.0,7530.0,35130.0,17370.0,27810.0,11970.0,7500.0,7500.0,51030.0,40110.0,19050.0,46080.0,64170.0,16470.0,7500.0,37110.0,8190.0,22350.0
29880.0,56580.0,,39000.0,66330.0,44760.0,69450.0,58830.0,20280,33360.0,7530.0,9090.0,12390.0,25230.0,7530.0,7800.0,35400.0,17400.0,28080.0,12000.0,7530.0,7530.0,51300.0,40140.0,19080.0,46110.0,64200.0,16500.0,7530.0,37140.0,8460.0,22620.0
30150.0,56850.0,,39270.0,66360.0,45030.0,69480.0,59100.0,20310,33390.0,7800.0,9120.0,12660.0,25500.0,7800.0,7830.0,35430.0,17670.0,28110.0,12270.0,7800.0,7800.0,51330.0,40410.0,19350.0,46380.0,64470.0,16770.0,7800.0,37410.0,8490.0,22650.0
30180.0,56880.0,,39300.0,66630.0,45060.0,69750.0,59130.0,20580,33660.0,7830.0,9390.0,12690.0,25530.0,7830.0,8100.0,35700.0,17700.0,28380.0,12300.0,7830.0,7830.0,51600.0,40440.0,19380.0,46410.0,64500.0,16800.0,7830.0,37440.0,8760.0,22920.0
30450.0,57150.0,,39570.0,66660.0,45330.0,69780.0,59400.0,20610,33690.0,8100.0,9420.0,12960.0,25800.0,8100.0,8130.0,35730.0,17970.0,28410.0,12570.0,8100.0,8100.0,51630.0,40710.0,19650.0,46680.0,64770.0,17070.0,8100.0,37710.0,8790.0,22950.0
30480.0,57180.0,,39600.0,66930.0,45360.0,70050.0,59430.0,20880,33960.0,8160.0,9690.0,12990.0,25860.0,8130.0,24030.0,36000.0,18000.0,28680.0,12600.0,8130.0,8130.0,51900.0,40740.0,19680.0,46710.0,64800.0,17100.0,8130.0,37740.0,9060.0,23220.0
30750.0,57450.0,,39870.0,66960.0,45630.0,70080.0,59700.0,20910,33990.0,8700.0,9720.0,13260.0,26130.0,8400.0,24300.0,36030.0,18270.0,28710.0,12870.0,8400.0,8400.0,51930.0,41010.0,19950.0,46980.0,65070.0,17370.0,8400.0,38010.0,9090.0,23250.0
30780.0,57480.0,,39900.0,67230.0,45660.0,70350.0,59730.0,21180,34260.0,8970.0,9990.0,13290.0,26340.0,8430.0,24330.0,36300.0,18300.0,28980.0,12900.0,8430.0,8430.0,52200.0,41040.0,19980.0,47010.0,65100.0,17400.0,8430.0,38040.0,9360.0,23520.0
31050.0,57750.0,,40170.0,67260.0,45930.0,70380.0,60000.0,21210,34290.0,9240.0,10020.0,13560.0,26490.0,8730.0,24600.0,36330.0,18570.0,29010.0,13170.0,8700.0,8700.0,52230.0,41310.0,20250.0,47280.0,65370.0,17670.0,8700.0,38310.0,9390.0,23550.0
31080.0,57780.0,,40200.0,67530.0,45960.0,70650.0,60030.0,21480,34560.0,9270.0,10290.0,13590.0,26760.0,9000.0,24630.0,36600.0,18600.0,29280.0,13200.0,8730.0,8730.0,52500.0,41340.0,20280.0,47310.0,65400.0,17700.0,8730.0,38340.0,9660.0,23820.0
31350.0,58050.0,,40470.0,67560.0,46230.0,70680.0,60300.0,21510,34590.0,9540.0,10320.0,13860.0,26790.0,9030.0,24900.0,36630.0,18870.0,29310.0,13470.0,9000.0,9000.0,52530.0,41610.0,20550.0,47580.0,65670.0,17970.0,9000.0,38610.0,9690.0,23850.0
