G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
1561,1561,1580.0,1601.0,,1600.0,1600.0,1601.0,1581.0,
1580,1580,1581.0,1620.0,,1601.0,1601.0,1620.0,1600.0,
1581,1581,1600.0,1621.0,,1620.0,1620.0,1621.0,1601.0,
1600,1600,1601.0,1640.0,,1621.0,1621.0,1640.0,1620.0,
1601,1601,1620.0,1641.0,,1640.0,1640.0,1641.0,1621.0,
1620,1620,1621.0,1660.0,,1641.0,1641.0,1660.0,1640.0,
1621,1621,1640.0,1661.0,,1660.0,1660.0,1661.0,1641.0,
1640,1640,1641.0,1680.0,,1661.0,1661.0,1680.0,1660.0,
1641,1641,1660.0,1681.0,,1680.0,1680.0,1681.0,1661.0,
1660,1660,1661.0,1700.0,,1681.0,1681.0,1700.0,1680.0,
1661,1661,1680.0,1701.0,,1700.0,1700.0,1701.0,1681.0,
1680,1680,1681.0,1720.0,,1701.0,1701.0,1720.0,1700.0,
1681,1681,1700.0,1721.0,,1720.0,1720.0,1721.0,1701.0,
1700,1700,1701.0,1740.0,,1721.0,1721.0,1740.0,1720.0,
1701,1701,1720.0,1741.0,,1740.0,1740.0,1741.0,1721.0,
1720,1720,1721.0,1760.0,,1741.0,1741.0,1760.0,1740.0,
1721,1721,1740.0,1761.0,,1760.0,1760.0,1761.0,1741.0,
1740,1740,1741.0,1780.0,,1761.0,1761.0,1780.0,1760.0,
1741,1741,1760.0,1781.0,,1780.0,1780.0,1781.0,1761.0,
1760,1760,1761.0,1800.0,,1781.0,1781.0,1800.0,1780.0,
1761,1761,1780.0,1801.0,,1800.0,1800.0,1801.0,1781.0,
1780,1780,1781.0,1820.0,,1801.0,1801.0,1820.0,1800.0,
1781,1781,1800.0,1821.0,,1820.0,1820.0,1821.0,1801.0,
1800,1800,1801.0,1840.0,,1821.0,1821.0,1840.0,1820.0,
1801,1801,1820.0,1841.0,,1840.0,1840.0,1841.0,1821.0,
1820,1820,1821.0,1860.0,,1841.0,1841.0,1860.0,1840.0,
1821,1821,1840.0,1861.0,,1860.0,1860.0,1875.0,1841.0,
1840,1840,1841.0,1881.0,,1861.0,1861.0,1876.0,1860.0,
1841,1841,1860.0,1900.0,,1881.0,1875.0,1881.0,1861.0,
1860,1860,1861.0,1901.0,,1900.0,1881.0,1900.0,1880.0,
1861,1861,1881.0,1920.0,,1901.0,1900.0,1901.0,1881.0,
1880,1880,1900.0,1921.0,,1920.0,1901.0,1920.0,1900.0,
1881,1881,1901.0,1940.0,,1921.0,1920.0,1921.0,1901.0,
1900,1900,1920.0,1941.0,,1940.0,1921.0,1940.0,1920.0,
1901,1901,1921.0,1960.0,,1941.0,1940.0,1941.0,1921.0,
1920,1920,1940.0,1961.0,,1960.0,1941.0,1960.0,1940.0,
1921,1921,1941.0,1980.0,,1961.0,1960.0,1962.0,1941.0,
1940,1940,1960.0,1981.0,,1980.0,1961.0,1963.0,1960.0,
1941,1941,1961.0,2000.0,,1981.0,1963.0,1981.0,1961.0,
1960,1960,1980.0,2001.0,,2000.0,1981.0,2000.0,1980.0,
1961,1961,1981.0,2020.0,,2001.0,2000.0,2001.0,1981.0,
1980,1980,2000.0,2021.0,,2020.0,2001.0,2020.0,2000.0,
1981,1981,2001.0,2040.0,,2021.0,2020.0,2021.0,2001.0,
2000,2000,2020.0,2041.0,,2040.0,2021.0,2040.0,2020.0,
2001,2001,2021.0,2060.0,,2041.0,2040.0,2041.0,2021.0,
2020,2020,2040.0,2061.0,,2060.0,2041.0,2060.0,2040.0,
2021,2021,2041.0,2080.0,,2061.0,2060.0,2061.0,2041.0,
2040,2040,2060.0,2081.0,,2080.0,2061.0,2080.0,2060.0,
2041,2041,2061.0,2100.0,,2081.0,2080.0,2081.0,2061.0,
2060,2060,2080.0,2101.0,,2100.0,2081.0,2100.0,2080.0,
2061,2061,2081.0,2120.0,,2101.0,2100.0,2101.0,2081.0,
2080,2080,2100.0,2121.0,,2120.0,2101.0,2120.0,2100.0,
2081,2081,2101.0,2140.0,,2121.0,2120.0,2121.0,2101.0,
2100,2100,2120.0,2141.0,,2140.0,2121.0,2140.0,2120.0,
2101,2101,2121.0,2160.0,,2141.0,2140.0,2141.0,2121.0,
2120,2120,2140.0,2161.0,,2160.0,2141.0,2160.0,2140.0,
2121,2121,2141.0,2180.0,,2161.0,2160.0,2161.0,2141.0,
2140,2140,2160.0,2181.0,,2180.0,2161.0,2180.0,2160.0,
2141,2141,2161.0,2200.0,,2181.0,2180.0,2181.0,2161.0,
2160,2160,2180.0,2201.0,,2200.0,2181.0,2200.0,2180.0,
2161,2161,2181.0,2220.0,,2201.0,2200.0,2201.0,2181.0,
2180,2180,2200.0,2221.0,,2220.0,2201.0,2220.0,2200.0,
2181,2181,2201.0,2240.0,,2221.0,2220.0,2221.0,2201.0,
2200,2200,2220.0,2241.0,,2240.0,2221.0,2240.0,2220.0,
2201,2201,2221.0,2260.0,,2241.0,2240.0,2241.0,2221.0,
2220,2220,2240.0,2261.0,,2260.0,2241.0,2260.0,2240.0,
2221,2221,2241.0,2280.0,,2261.0,2260.0,2261.0,2241.0,
2240,2240,2260.0,2281.0,,2280.0,2261.0,2280.0,2260.0,
2241,2241,2261.0,2300.0,,2281.0,2280.0,2281.0,2261.0,
2260,2260,2280.0,2301.0,,2300.0,2281.0,2300.0,2280.0,
2261,2261,2281.0,2320.0,,2301.0,2300.0,2301.0,2281.0,
2280,2280,2300.0,2321.0,,2320.0,2301.0,2320.0,2300.0,
2281,2281,2301.0,2340.0,,2321.0,2320.0,2321.0,2301.0,
