G27,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G30,G18,G31,G04,G10,G23,G11
68010.0,47100.0,11700.0,42450.0,60480.0,,49380.0,64560.0,11430.0,29310.0,13050.0,11430.0,31110.0,72480.0,17100.0,27510,36990.0,26640.0,49170.0,52590.0,26400.0,20820.0,70590.0,21390.0,53940.0,51300.0,11430.0,63810.0,39090.0,18090.0
68280.0,47370.0,11730.0,42480.0,60510.0,,49410.0,64590.0,74850.0,29580.0,13080.0,11700.0,31380.0,72750.0,17130.0,27780,37020.0,26670.0,49440.0,52620.0,26430.0,21090.0,70620.0,21420.0,54210.0,51330.0,11700.0,63840.0,39360.0,18360.0
68310.0,47400.0,12000.0,42750.0,60780.0,,49680.0,64860.0,75180.0,29610.0,13350.0,11730.0,31410.0,72780.0,17400.0,27810,37290.0,26940.0,49470.0,52890.0,26700.0,21120.0,70890.0,21690.0,54240.0,51600.0,11730.0,64110.0,39390.0,18390.0
68580.0,47670.0,12030.0,42780.0,60810.0,,49950.0,64890.0,75570.0,29880.0,13380.0,12000.0,31680.0,73050.0,17430.0,28080,37320.0,26970.0,49740.0,52920.0,26730.0,21390.0,70920.0,21720.0,54510.0,51630.0,12000.0,64140.0,39660.0,18660.0
68610.0,47700.0,12300.0,43050.0,61080.0,,50220.0,65160.0,75840.0,29910.0,13650.0,12030.0,31710.0,73080.0,17700.0,28110,37590.0,27240.0,49770.0,53190.0,27000.0,21420.0,71190.0,21990.0,54540.0,51900.0,12030.0,64410.0,39690.0,18690.0
68880.0,47970.0,12330.0,43080.0,61110.0,,50250.0,65190.0,75870.0,30180.0,13680.0,12300.0,31980.0,73350.0,17730.0,28380,37620.0,27270.0,50040.0,53220.0,27030.0,21690.0,71220.0,22020.0,54810.0,51930.0,12300.0,64440.0,39960.0,18960.0
68910.0,48000.0,12600.0,43350.0,61380.0,,50520.0,65460.0,76140.0,30210.0,13950.0,12330.0,32010.0,73380.0,18000.0,28410,37890.0,27540.0,50070.0,53490.0,27300.0,21720.0,71490.0,22290.0,54840.0,52200.0,12330.0,64710.0,39990.0,18990.0
69180.0,48270.0,12630.0,43380.0,61410.0,,50670.0,65490.0,76170.0,30480.0,13980.0,12600.0,32280.0,73650.0,18030.0,28680,37920.0,27570.0,50340.0,53520.0,27330.0,21990.0,71520.0,22320.0,55110.0,52230.0,12600.0,64740.0,40260.0,19260.0
69210.0,48300.0,12900.0,43650.0,61680.0,,50880.0,65760.0,76440.0,30510.0,14250.0,13050.0,32310.0,73680.0,18300.0,28710,38190.0,27840.0,50370.0,53790.0,27600.0,22020.0,71790.0,22590.0,55140.0,52500.0,12630.0,65010.0,40290.0,19290.0
69480.0,48570.0,12930.0,43680.0,61710.0,,51150.0,65790.0,76470.0,30780.0,14280.0,13320.0,32580.0,73950.0,18330.0,28980,38220.0,27870.0,50640.0,53820.0,27630.0,22290.0,71820.0,22620.0,55410.0,52530.0,12900.0,65040.0,40560.0,19560.0
69510.0,48600.0,13200.0,43950.0,61980.0,,51180.0,66060.0,76740.0,30810.0,14550.0,13470.0,32610.0,73980.0,18600.0,29010,38490.0,28140.0,50670.0,54090.0,27900.0,22320.0,72090.0,22890.0,55440.0,52800.0,12930.0,65310.0,40590.0,19590.0
69780.0,48870.0,13230.0,43980.0,62010.0,,54720.0,66090.0,76770.0,31080.0,14580.0,30330.0,32880.0,74250.0,18630.0,29280,38520.0,28170.0,50940.0,54120.0,27930.0,22590.0,72120.0,22920.0,55710.0,52830.0,13200.0,65340.0,40860.0,19860.0
