G27,G08,G28,G07,G26,G02,G21,G10,G18,G31,G16,G23
2333,2352.0,,,2333,,,2333,2333,,2333,2333
2344,2363.0,,,2344,,,2344,2344,,2344,2344
2355,2374.0,,,2355,,,2355,2355,,2355,2355
2366,2385.0,,,2366,,,2366,2366,,2366,2366
2377,2396.0,,,2377,,,2377,2377,,2377,2377
2388,2407.0,,,2388,,,2388,2388,,2388,2388
2399,2418.0,,,2399,,,2399,2399,,2399,2399
2410,2429.0,,,2410,,,2410,2410,,2410,2410
2421,2440.0,,,2421,,,2421,2421,,2421,2421
2432,2451.0,,,2432,,,2432,2432,,2432,2432
2443,2462.0,,,2443,,,2443,2443,,2443,2443
2454,2473.0,,,2454,,,2454,2454,,2454,2454
2465,2484.0,,,2465,,,2465,2465,,2465,2465
2476,2495.0,,,2476,,,2476,2476,,2476,2476
2487,2506.0,,,2487,,,2487,2487,,2487,2487
2498,2517.0,,,2498,,,2498,2498,,2498,2498
2509,2528.0,,,2509,,,2509,2509,,2509,2509
2520,2539.0,,,2520,,,2520,2520,,2520,2520
2531,2550.0,,,2531,,,2531,2531,,2531,2531
2542,2561.0,,,2542,,,2542,2542,,2542,2542
2553,2572.0,,,2553,,,2553,2553,,2553,2553
2564,2583.0,,,2564,,,2564,2564,,2564,2564
2575,2594.0,,,2575,,,2575,2575,,2575,2575
2586,2605.0,,,2586,,,2586,2586,,2586,2586
2597,2616.0,,,2597,,,2597,2597,,2597,2597
2608,2627.0,,,2608,,,2608,2608,,2608,2608
2619,2638.0,,,2619,,,2619,2619,,2619,2619
2630,2649.0,,,2630,,,2630,2630,,2630,2630
2641,2660.0,,,2641,,,2641,2641,,2641,2641
2652,2671.0,,,2652,,,2652,2652,,2652,2652
2663,2682.0,,,2663,,,2663,2663,,2663,2663
2674,2693.0,,,2674,,,2674,2674,,2674,2674
2685,2704.0,,,2685,,,2685,2685,,2685,2685
2696,2715.0,,,2696,,,2696,2696,,2696,2696
2707,2726.0,,,2707,,,2707,2707,,2707,2707
2718,2737.0,,,2718,,,2718,2718,,2718,2718
2729,2748.0,,,2729,,,2729,2729,,2729,2729
2740,2759.0,,,2740,,,2740,2740,,2740,2740
2751,2770.0,,,2751,,,2751,2751,,2751,2751
2762,2781.0,,,2762,,,2762,2762,,2762,2762
2773,2792.0,,,2773,,,2773,2773,,2773,2773
2784,2803.0,,,2784,,,2784,2784,,2784,2784
2795,2814.0,,,2795,,,2795,2795,,2795,2795
2806,2825.0,,,2806,,,2806,2806,,2806,2806
2817,2836.0,,,2817,,,2817,2817,,2817,2817
2828,2847.0,,,2828,,,2828,2828,,2828,2828
2839,2858.0,,,2839,,,2839,2839,,2839,2839
2850,2869.0,,,2850,,,2850,2850,,2850,2850
2861,2880.0,,,2861,,,2861,2861,,2861,2861
2872,2891.0,,,2872,,,2872,2872,,2872,2872
2883,2902.0,,,2883,,,2883,2883,,2883,2883
2894,2913.0,,,2894,,,2894,2894,,2894,2894
2905,2924.0,,,2905,,,2905,2905,,2905,2905
2916,2935.0,,,2916,,,2916,2916,,2916,2916
2927,2946.0,,,2927,,,2927,2927,,2927,2927
2938,2957.0,,,2938,,,2938,2938,,2938,2938
2949,2968.0,,,2949,,,2949,2949,,2949,2949
2960,2979.0,,,2960,,,2960,2960,,2960,2960
2971,2990.0,,,2971,,,2971,2971,,2971,2971
2982,3001.0,,,2982,,,2982,2982,,2982,2982
2993,3012.0,,,2993,,,2993,2993,,2993,2993
3004,3023.0,,,3004,,,3004,3004,,3004,3004
3015,3034.0,,,3015,,,3015,3015,,3015,3015
3026,3045.0,,,3026,,,3026,3026,,3026,3026
3037,3056.0,,,3037,,,3037,3037,,3037,3037
3048,3067.0,,,3048,,,3048,3048,,3048,3048
3059,3078.0,,,3059,,,3059,3059,,3059,3059
3070,3089.0,,,3070,,,3070,3070,,3070,3070
3081,3100.0,,,3081,,,3081,3081,,3081,3081
3092,3111.0,,,3092,,,3092,3092,,3092,3092
3103,3122.0,,,3103,,,3103,3103,,3103,3103
3114,3133.0,,,3114,,,3114,3114,,3114,3114
3125,3144.0,,,3125,,,3125,3125,,3125,3125
3136,3155.0,,,3136,,,3136,3136,,3136,3136
3147,3166.0,,,3147,,,3147,3147,,3147,3147
3158,3177.0,,,3158,,,3158,3158,,3158,3158
3169,3188.0,,,3169,,,3169,3169,,3169,3169
3180,3199.0,,,3180,,,3180,3180,,3180,3180
3191,3210.0,,,3191,,,3191,3191,,3191,3191
3202,3221.0,,,3202,,,3202,3202,,3202,3202
3213,3232.0,,,3213,,,3213,3213,,3213,3213
3224,3243.0,,,3224,,,3224,3224,,3224,3224
3235,3254.0,,,3235,,,3235,3235,,3235,3235
3246,3265.0,,,3246,,,3246,3246,,3246,3246
3257,3276.0,,,3257,,,3257,3257,,3257,3257
3268,3287.0,,,3268,,,3268,3268,,3268,3268
3279,3298.0,,,3279,,,3279,3279,,3279,3279
3290,3309.0,,,3290,,,3290,3290,,3290,3290
